Price,Close
Ticker,GDX
Date,
2006-05-23,37.85
2006-05-24,36.41
2006-05-25,38.21
2006-05-26,38.44
2006-05-30,38.06
2006-05-31,38.74
2006-06-01,38.42
2006-06-02,39.02
2006-06-05,38.02
2006-06-06,36.9
2006-06-07,36.04
2006-06-08,35.17
2006-06-09,34.97
2006-06-12,33.68
2006-06-13,32.11
2006-06-14,32.93
2006-06-15,34.84
2006-06-16,34.47
2006-06-19,33.5
2006-06-20,34.24
2006-06-21,35.76
2006-06-22,35.54
2006-06-23,36.17
2006-06-26,36.52
2006-06-27,35.38
2006-06-28,35.21
2006-06-29,37.85
2006-06-30,38.59
2006-07-03,40.11
2006-07-05,39.26
2006-07-06,39.61
2006-07-07,38.92
2006-07-10,38.56
2006-07-11,39.64
2006-07-12,39.38
2006-07-13,38.22
2006-07-14,38.86
2006-07-17,37.29
2006-07-18,36.89
2006-07-19,38.33
2006-07-20,36.72
2006-07-21,35.71
2006-07-24,36.58
2006-07-25,37.58
2006-07-26,38.25
2006-07-27,37.39
2006-07-28,38.67
2006-07-31,38.65
2006-08-01,39.63
2006-08-02,40.54
2006-08-03,39.79
2006-08-04,39.48
2006-08-07,40.0
2006-08-08,39.6
2006-08-09,40.46
2006-08-10,39.63
2006-08-11,38.58
2006-08-14,37.93
2006-08-15,38.45
2006-08-16,39.08
2006-08-17,38.17
2006-08-18,38.27
2006-08-21,40.17
2006-08-22,40.38
2006-08-23,40.26
2006-08-24,39.63
2006-08-25,39.86
2006-08-28,38.98
2006-08-29,39.24
2006-08-30,39.4
2006-08-31,40.47
2006-09-01,40.77
2006-09-05,41.98
2006-09-06,41.58
2006-09-07,40.18
2006-09-08,39.13
2006-09-11,36.29
2006-09-12,35.97
2006-09-13,36.24
2006-09-14,34.85
2006-09-15,35.13
2006-09-18,36.05
2006-09-19,34.58
2006-09-20,34.26
2006-09-21,34.7
2006-09-22,34.75
2006-09-25,34.36
2006-09-26,35.53
2006-09-27,36.28
2006-09-28,35.86
2006-09-29,35.55
2006-10-02,35.63
2006-10-03,33.36
2006-10-04,33.67
2006-10-05,34.41
2006-10-06,34.27
2006-10-09,33.99
2006-10-10,34.33
2006-10-11,33.71
2006-10-12,34.6
2006-10-13,35.69
2006-10-16,35.96
2006-10-17,35.7
2006-10-18,35.08
2006-10-19,36.23
2006-10-20,35.64
2006-10-23,35.98
2006-10-24,36.22
2006-10-25,37.24
2006-10-26,37.16
2006-10-27,36.73
2006-10-30,36.9
2006-10-31,37.85
2006-11-01,37.93
2006-11-02,38.23
2006-11-03,38.69
2006-11-06,38.32
2006-11-07,38.44
2006-11-08,38.15
2006-11-09,39.78
2006-11-10,38.9
2006-11-13,38.81
2006-11-14,38.29
2006-11-15,38.77
2006-11-16,37.21
2006-11-17,37.24
2006-11-20,37.21
2006-11-21,38.58
2006-11-22,38.73
