roll_date,data_date,expiration,dte,strike,delta,implied_volatility,mark,bid,ask,last,volume,open_interest,contractID
2016-06-06,2016-06-06,2016-06-24,18,53.50,0.26705,0.18073,0.32,0.30,0.34,0.38,965,719,MSFT160624C00053500
2016-06-27,2016-06-27,2016-07-15,18,50.50,0.22442,0.23926,0.32,0.31,0.33,0.30,607,1338,MSFT160715C00050500
2016-07-18,2016-07-18,2016-08-05,18,56.00,0.27788,0.26853,0.52,0.50,0.53,0.51,190,232,MSFT160805C00056000
2016-08-08,2016-08-08,2016-08-26,18,59.00,0.26670,0.11244,0.23,0.22,0.25,0.23,33,219,MSFT160826C00059000
2016-08-29,2016-08-29,2016-09-16,18,59.00,0.29265,0.12219,0.30,0.29,0.31,0.32,483,1319,MSFT160916C00059000
2016-09-19,2016-09-19,2016-10-07,18,58.50,0.21589,0.15146,0.22,0.21,0.23,0.25,184,664,MSFT161007C00058500
2016-10-10,2016-10-10,2016-10-28,18,60.50,0.23594,0.24902,0.45,0.43,0.47,0.43,100,558,MSFT161028C00060500
2016-10-31,2016-10-31,2016-11-18,18,61.50,0.24046,0.16122,0.30,0.28,0.32,0.34,64,5704,MSFT161118C00061500
2016-11-21,2016-11-21,2016-12-09,18,62.50,0.23602,0.16122,0.28,0.25,0.30,0.12,0,258,MSFT161209C00062500
2016-12-12,2016-12-12,2016-12-30,18,64.00,0.21571,0.16122,0.28,0.26,0.29,0.23,79,12507,MSFT161230C00064000
2017-01-02,2016-12-30,2017-01-20,21,64.00,0.23112,0.16122,0.30,0.29,0.32,0.30,703,4163,MSFT170120C00064000
2017-01-23,2017-01-23,2017-02-10,18,65.50,0.24772,0.24902,0.49,0.47,0.51,0.48,12,130,MSFT170210C00065500
2017-02-13,2017-02-13,2017-03-03,18,66.00,0.22397,0.11244,0.20,0.18,0.21,0.19,234,1050,MSFT170303C00066000
2017-03-06,2017-03-06,2017-03-24,18,65.50,0.25046,0.12219,0.26,0.25,0.27,0.33,23,1488,MSFT170324C00065500
2017-03-27,2017-03-27,2017-04-13,17,66.50,0.21840,0.12219,0.23,0.22,0.25,0.27,37,501,MSFT170413C00066500
2017-04-17,2017-04-17,2017-05-05,18,68.00,0.24961,0.23926,0.51,0.45,0.56,0.48,39,709,MSFT170505C00068000
2017-05-08,2017-05-08,2017-05-26,18,70.50,0.21345,0.12219,0.23,0.21,0.25,0.18,9,117,MSFT170526C00070500
2017-05-29,2017-05-26,2017-06-16,21,71.50,0.25604,0.13195,0.32,0.29,0.35,0.29,88,744,MSFT170616C00071500
2017-06-19,2017-06-19,2017-07-07,18,72.50,0.26036,0.15146,0.36,0.33,0.40,0.30,290,3181,MSFT170707C00072500
2017-07-10,2017-07-10,2017-07-28,18,72.50,0.27367,0.24902,0.62,0.59,0.65,0.65,92,364,MSFT170728C00072500
2017-07-31,2017-07-31,2017-08-18,18,74.50,0.22822,0.14170,0.29,0.26,0.31,0.30,169,1630,MSFT170818C00074500
2017-08-21,2017-08-21,2017-09-08,18,74.00,0.23610,0.15146,0.34,0.30,0.38,0.30,92,661,MSFT170908C00074000
2017-09-11,2017-09-11,2017-09-29,18,76.50,0.24283,0.14170,0.33,0.32,0.35,0.35,40,297,MSFT170929C00076500
2017-10-02,2017-10-02,2017-10-20,18,76.50,0.22331,0.14170,0.30,0.28,0.31,0.32,133,2813,MSFT171020C00076500
