date,open,high,low,close
1999-11-01,0.045313,0.050781,0.045313,0.048958
1999-11-02,0.049870,0.052344,0.049479,0.052083
1999-11-03,0.054167,0.058594,0.053776,0.057161
1999-11-04,0.057813,0.062370,0.057813,0.060807
1999-11-05,0.062500,0.063021,0.055990,0.058854
1999-11-08,0.057031,0.062240,0.055208,0.060547
1999-11-09,0.060417,0.060677,0.057292,0.059635
1999-11-10,0.059831,0.059896,0.057943,0.059115
1999-11-11,0.059115,0.066406,0.057813,0.063281
1999-11-12,0.066016,0.066667,0.062240,0.066667
1999-11-15,0.067122,0.069141,0.064323,0.065365
1999-11-16,0.066927,0.072917,0.066667,0.071615
1999-11-17,0.072917,0.078125,0.071875,0.074349
1999-11-18,0.075911,0.076563,0.073958,0.074609
1999-11-19,0.083594,0.092448,0.083333,0.089323
1999-11-22,0.091602,0.091667,0.083854,0.089193
1999-11-23,0.080078,0.083724,0.079167,0.082813
1999-11-24,0.082422,0.083333,0.074089,0.080208
1999-11-26,0.079427,0.080208,0.077083,0.079688
1999-11-29,0.079427,0.080469,0.075000,0.076823
1999-11-30,0.077083,0.078385,0.072135,0.072135
1999-12-01,0.072135,0.076823,0.072135,0.075781
1999-12-02,0.076042,0.082422,0.076042,0.081380
1999-12-03,0.082161,0.083594,0.078385,0.079427
1999-12-06,0.079688,0.082031,0.079688,0.081641
1999-12-07,0.082292,0.082422,0.075781,0.078906
1999-12-08,0.078646,0.083203,0.078385,0.082422
1999-12-09,0.082292,0.084375,0.077083,0.079948
1999-12-10,0.081380,0.081771,0.077604,0.079036
1999-12-13,0.078125,0.080859,0.077083,0.078776
1999-12-14,0.078906,0.080859,0.076693,0.077474
1999-12-15,0.076953,0.077344,0.073177,0.075000
1999-12-16,0.075391,0.076563,0.074219,0.074479
1999-12-17,0.076563,0.079557,0.076172,0.078385
1999-12-20,0.078516,0.086426,0.075781,0.084896
1999-12-21,0.084896,0.088672,0.081771,0.088542
1999-12-22,0.088802,0.091667,0.085417,0.090625
1999-12-23,0.090755,0.096875,0.090365,0.096615
1999-12-27,0.098698,0.098828,0.091927,0.092969
1999-12-28,0.092969,0.096354,0.092448,0.092708
1999-12-29,0.092513,0.096875,0.092448,0.095833
1999-12-30,0.095833,0.097266,0.094271,0.096615
1999-12-31,0.096419,0.097917,0.096094,0.097786
2000-01-03,0.098438,0.099219,0.091927,0.097526
2000-01-04,0.095833,0.096094,0.090104,0.094922
2000-01-05,0.092188,0.093750,0.090495,0.091797
2000-01-06,0.091797,0.091797,0.082292,0.085807
2000-01-07,0.085417,0.088151,0.084115,0.087240
2000-01-10,0.087500,0.093750,0.085938,0.090104
2000-01-11,0.089583,0.090625,0.086458,0.086458
2000-01-12,0.086458,0.086589,0.083073,0.084245
2000-01-13,0.084115,0.088542,0.083073,0.087760
2000-01-14,0.089063,0.095182,0.088802,0.091536
2000-01-18,0.092708,0.095833,0.088542,0.095443
2000-01-19,0.095833,0.095833,0.093750,0.094531
2000-01-20,0.095313,0.100521,0.093490,0.094271
2000-01-21,0.094010,0.094401,0.090885,0.093229
2000-01-24,0.096224,0.096224,0.088542,0.089063
2000-01-25,0.089453,0.090365,0.085417,0.088281
2000-01-26,0.088281,0.090625,0.083073,0.084635
2000-01-27,0.085286,0.085286,0.077083,0.080208
2000-01-28,0.079167,0.079688,0.074740,0.077865
2000-01-31,0.078255,0.079948,0.072917,0.077214
2000-02-01,0.077344,0.079688,0.074479,0.079036
2000-02-02,0.079427,0.082813,0.079036,0.081250
2000-02-03,0.083854,0.085547,0.082031,0.082552
2000-02-04,0.085156,0.085156,0.082813,0.084505
2000-02-07,0.084896,0.084896,0.079167,0.079297
2000-02-08,0.081250,0.085938,0.079167,0.083073
2000-02-09,0.086198,0.087630,0.085026,0.085156
2000-02-10,0.090365,0.104167,0.090365,0.102604
2000-02-11,0.107682,0.107813,0.096615,0.104167
2000-02-14,0.104427,0.120833,0.103385,0.120833
2000-02-15,0.121094,0.121224,0.111198,0.116146
2000-02-16,0.117448,0.125521,0.116146,0.121484
2000-02-17,0.121354,0.126563,0.119531,0.125781
2000-02-18,0.123958,0.142188,0.123047,0.140365
2000-02-22,0.135938,0.137760,0.131250,0.136458
2000-02-23,0.134896,0.138672,0.133203,0.137240
2000-02-24,0.138021,0.138932,0.130208,0.135938
2000-02-25,0.136068,0.136068,0.121875,0.127474
2000-02-28,0.126823,0.128125,0.124479,0.126563
2000-02-29,0.125781,0.134896,0.125781,0.133333
2000-03-01,0.133333,0.133333,0.127344,0.129427
2000-03-02,0.130469,0.130469,0.120313,0.120703
2000-03-03,0.120833,0.123958,0.119792,0.122656
2000-03-06,0.123438,0.132813,0.120833,0.121875
2000-03-07,0.156250,0.181771,0.149479,0.173568
2000-03-08,0.173470,0.176563,0.160938,0.175000
2000-03-09,0.177083,0.225000,0.176563,0.208952
2000-03-10,0.219792,0.302083,0.218229,0.245833
2000-03-13,0.222917,0.312500,0.220833,0.310938
2000-03-14,0.309245,0.309245,0.225000,0.229427
2000-03-15,0.245866,0.252214,0.212500,0.220052
2000-03-16,0.227083,0.234896,0.192969,0.196191
2000-03-17,0.191667,0.222917,0.191634,0.208073
2000-03-20,0.216276,0.223177,0.201302,0.207943
2000-03-21,0.208333,0.210156,0.181250,0.197656
2000-03-22,0.199219,0.205208,0.195833,0.199089
2000-03-23,0.197266,0.213542,0.196875,0.202604
