Price,Close
Ticker,PEP
Date,
1977-01-03,0.66
1977-01-04,0.65
1977-01-05,0.65
1977-01-06,0.65
1977-01-07,0.65
1977-01-10,0.65
1977-01-11,0.64
1977-01-12,0.64
1977-01-13,0.65
1977-01-14,0.64
1977-01-17,0.64
1977-01-18,0.63
1977-01-19,0.63
1977-01-20,0.62
1977-01-21,0.62
1977-01-24,0.61
1977-01-25,0.61
1977-01-26,0.6
1977-01-27,0.59
1977-01-28,0.59
1977-01-31,0.59
1977-02-01,0.6
1977-02-02,0.6
1977-02-03,0.6
1977-02-04,0.6
1977-02-07,0.6
1977-02-08,0.6
1977-02-09,0.6
1977-02-10,0.6
1977-02-11,0.6
1977-02-14,0.6
1977-02-15,0.6
1977-02-16,0.61
1977-02-17,0.6
1977-02-18,0.61
1977-02-22,0.61
1977-02-23,0.6
1977-02-24,0.59
1977-02-25,0.61
1977-02-28,0.61
1977-03-01,0.63
1977-03-02,0.63
1977-03-03,0.64
1977-03-04,0.62
1977-03-07,0.6
1977-03-08,0.59
1977-03-09,0.57
1977-03-10,0.59
1977-03-11,0.6
1977-03-14,0.61
1977-03-15,0.61
1977-03-16,0.61
1977-03-17,0.61
1977-03-18,0.61
1977-03-21,0.6
1977-03-22,0.6
1977-03-23,0.6
1977-03-24,0.59
1977-03-25,0.6
1977-03-28,0.6
1977-03-29,0.6
1977-03-30,0.59
1977-03-31,0.59
1977-04-01,0.6
1977-04-04,0.59
1977-04-05,0.59
1977-04-06,0.59
1977-04-07,0.6
1977-04-11,0.61
1977-04-12,0.61
1977-04-13,0.61
1977-04-14,0.62
1977-04-15,0.61
1977-04-18,0.61
1977-04-19,0.61
1977-04-20,0.61
1977-04-21,0.61
1977-04-22,0.6
1977-04-25,0.59
1977-04-26,0.59
1977-04-27,0.58
1977-04-28,0.58
1977-04-29,0.58
1977-05-02,0.59
1977-05-03,0.59
1977-05-04,0.6
1977-05-05,0.6
1977-05-06,0.6
1977-05-09,0.6
1977-05-10,0.61
1977-05-11,0.6
1977-05-12,0.61
1977-05-13,0.61
1977-05-16,0.6
1977-05-17,0.59
1977-05-18,0.59
1977-05-19,0.59
1977-05-20,0.58
1977-05-23,0.58
1977-05-24,0.58
1977-05-25,0.58
1977-05-26,0.58
1977-05-27,0.57
1977-05-31,0.56
1977-06-01,0.58
1977-06-02,0.6
1977-06-03,0.61
1977-06-06,0.61
1977-06-07,0.6
1977-06-08,0.61
1977-06-09,0.6
1977-06-10,0.6
1977-06-13,0.6
1977-06-14,0.61
1977-06-15,0.61
1977-06-16,0.6
1977-06-17,0.58
1977-06-20,0.58
1977-06-21,0.58
1977-06-22,0.59
1977-06-23,0.58
1977-06-24,0.58
1977-06-27,0.58
1977-06-28,0.57
1977-06-29,0.57
1977-06-30,0.57
1977-07-01,0.57
1977-07-05,0.58
1977-07-06,0.58
1977-07-07,0.58
1977-07-08,0.59
1977-07-11,0.59
1977-07-12,0.59
1977-07-13,0.59
1977-07-15,0.6
1977-07-18,0.62
1977-07-19,0.63
1977-07-20,0.63
1977-07-21,0.63
1977-07-22,0.63
1977-07-25,0.63
1977-07-26,0.63
1977-07-27,0.63
1977-07-28,0.61
1977-07-29,0.61
1977-08-01,0.61
1977-08-02,0.61
1977-08-03,0.62
1977-08-04,0.63
1977-08-05,0.64
1977-08-08,0.64
1977-08-09,0.64
1977-08-10,0.64
1977-08-11,0.64
1977-08-12,0.64
1977-08-15,0.65
1977-08-16,0.64
1977-08-17,0.64
1977-08-18,0.64
1977-08-19,0.65
1977-08-22,0.66
1977-08-23,0.68
1977-08-24,0.66
1977-08-25,0.66
1977-08-26,0.66
1977-08-29,0.65
1977-08-30,0.64
1977-08-31,0.64
1977-09-01,0.65
1977-09-02,0.65
1977-09-06,0.65
1977-09-07,0.65
1977-09-08,0.65
1977-09-09,0.65
1977-09-12,0.64
1977-09-13,0.63
1977-09-14,0.64
1977-09-15,0.64
1977-09-16,0.64
1977-09-19,0.64
1977-09-20,0.63
1977-09-21,0.62
1977-09-22,0.62
1977-09-23,0.62
1977-09-26,0.62
1977-09-27,0.62
1977-09-28,0.62
1977-09-29,0.63
1977-09-30,0.64
1977-10-03,0.65
1977-10-04,0.66
1977-10-05,0.66
1977-10-06,0.66
1977-10-07,0.66
1977-10-10,0.65
1977-10-11,0.65
1977-10-12,0.64
1977-10-13,0.64
1977-10-14,0.63
1977-10-17,0.63
1977-10-18,0.64
1977-10-19,0.64
1977-10-20,0.64
1977-10-21,0.64
1977-10-24,0.64
1977-10-25,0.64
1977-10-26,0.64
1977-10-27,0.64
1977-10-28,0.64
1977-10-31,0.64
1977-11-01,0.63
1977-11-02,0.61
1977-11-03,0.62
1977-11-04,0.62
1977-11-07,0.62
1977-11-08,0.61
1977-11-09,0.62
1977-11-10,0.64
1977-11-11,0.67
1977-11-14,0.67
1977-11-15,0.68
1977-11-16,0.67
1977-11-17,0.67
1977-11-18,0.68
1977-11-21,0.67
1977-11-22,0.68
1977-11-23,0.7
1977-11-25,0.7
1977-11-28,0.69
1977-11-29,0.68
1977-11-30,0.67
