roll_date,data_date,expiration,dte,strike,delta,implied_volatility,mark,bid,ask,last,volume,open_interest,contractID
2016-06-06,2016-06-06,2016-06-24,18,214.00,0.25606,0.08317,0.61,0.60,0.62,0.61,2000,11760,SPY160624C00214000
2016-06-27,2016-06-27,2016-07-15,18,205.00,0.24864,0.17097,1.04,1.03,1.06,1.03,19248,31388,SPY160715C00205000
2016-07-18,2016-07-18,2016-08-05,18,219.50,0.22732,0.08317,0.58,0.57,0.59,0.62,326,6647,SPY160805C00219500
2016-08-08,2016-08-08,2016-08-26,18,220.50,0.25299,0.07341,0.56,0.56,0.57,0.58,323,3033,SPY160826C00220500
2016-08-29,2016-08-29,2016-09-16,18,221.00,0.23672,0.07341,0.49,0.48,0.50,0.49,10875,272148,SPY160916C00221000
2016-09-19,2016-09-19,2016-10-12,23,217.50,0.25799,0.11244,0.97,0.95,0.99,1.26,4,219,SPY161012C00217500
2016-10-10,2016-10-10,2016-11-02,23,219.50,0.23825,0.08317,0.59,0.57,0.61,0.57,10,83,SPY161102C00219500
2016-10-31,2016-10-31,2016-11-23,23,217.50,0.25060,0.13195,0.99,0.98,1.01,0.95,105,193,SPY161123C00217500
2016-11-21,2016-11-21,2016-12-14,23,223.50,0.24179,0.08317,0.68,0.67,0.69,0.71,10,492,SPY161214C00223500
2016-12-12,2016-12-12,2017-01-04,23,229.00,0.26358,0.07341,0.66,0.64,0.67,0.63,148,2894,SPY170104C00229000
2017-01-02,2016-12-30,2017-01-20,21,227.50,0.24522,0.10268,0.71,0.70,0.72,0.73,4619,6928,SPY170120C00227500
2017-01-23,2017-01-23,2017-02-15,23,229.50,0.25017,0.08317,0.65,0.63,0.66,0.59,8,1626,SPY170215C00229500
2017-02-13,2017-02-13,2017-03-08,23,236.00,0.23699,0.07341,0.66,0.64,0.67,0.63,115,238,SPY170308C00236000
2017-03-06,2017-03-06,2017-03-29,23,240.50,0.24315,0.06366,0.63,0.62,0.64,0.64,5,68,SPY170329C00240500
2017-03-27,2017-03-27,2017-04-19,23,240.00,0.10517,0.08317,0.23,0.22,0.24,0.25,1131,10612,SPY170419C00240000
2017-04-17,2017-04-17,2017-05-10,23,240.00,0.17238,0.09292,0.43,0.42,0.45,0.42,1991,2389,SPY170510C00240000
2017-05-08,2017-05-08,2017-05-31,23,245.00,0.09091,0.06366,0.14,0.13,0.15,0.14,1807,7460,SPY170531C00245000
2017-05-29,2017-05-26,2017-06-16,21,244.50,0.23894,0.06366,0.51,0.50,0.51,0.50,2266,7389,SPY170616C00244500
2017-06-19,2017-06-19,2017-07-12,23,250.00,0.06240,0.05390,0.12,0.11,0.13,0.09,10,57,SPY170712C00250000
2017-07-10,2017-07-10,2017-08-02,23,245.00,0.29571,0.07341,0.77,0.75,0.78,0.76,423,2604,SPY170802C00245000
2017-07-31,2017-07-31,2017-08-23,23,250.00,0.22255,0.06366,0.43,0.42,0.45,0.48,4,1620,SPY170823C00250000
2017-08-21,2017-08-21,2017-09-13,23,247.00,0.22474,0.08317,0.65,0.63,0.67,0.64,1539,14271,SPY170913C00247000
2017-09-11,2017-09-11,2017-10-04,23,251.00,0.28287,0.04415,0.46,0.45,0.48,0.45,649,1711,SPY171004C00251000
2017-10-02,2017-10-02,2017-10-25,23,255.00,0.23574,0.05390,0.52,0.50,0.53,0.48,25,3570,SPY171025C00255000
2017-10-23,2017-10-23,2017-11-15,23,259.00,0.25834,0.06366,0.70,0.69,0.71,0.99,232,0,SPY171115C00259000
2017-11-13,2017-11-13,2017-12-06,23,261.00,0.27768,0.06366,0.78,0.76,0.80,0.83,206,574,SPY171206C00261000
2017-12-04,2017-12-04,2017-12-27,23,267.00,0.26756,0.06366,0.69,0.66,0.71,0.70,1087,157,SPY171227C00267000
2017-12-25,2017-12-22,2018-01-12,21,270.50,0.25245,0.06366,0.57,0.56,0.59,0.61,65,2022,SPY180112C00270500
2018-01-15,2018-01-12,2018-02-02,21,282.00,0.24837,0.08317,0.74,0.73,0.76,0.71,930,2679,SPY180202C00282000
2018-02-05,2018-02-05,2018-02-28,23,274.00,0.27239,0.22951,2.38,1.07,3.69,2.83,934,0,SPY180228C00274000
2018-02-26,2018-02-26,2018-03-19,21,285.00,0.16384,0.10268,0.64,0.61,0.67,0.59,285,1,SPY180319C00285000
2018-03-19,2018-03-19,2018-04-09,21,275.00,0.30102,0.12219,1.58,1.54,1.62,1.51,169,344,SPY180409C00275000
2018-04-09,2018-04-09,2018-04-30,21,269.00,0.24448,0.17097,1.54,1.51,1.56,2.20,1189,1181,SPY180430C00269000
