roll_date,data_date,expiration,dte,strike,delta,implied_volatility,mark,bid,ask,last,volume,open_interest,contractID
2016-06-06,2016-06-06,2016-06-24,18,135.00,0.22936,0.12219,0.45,0.43,0.46,0.42,54,1318,TLT160624C00135000
2016-06-27,2016-06-27,2016-07-15,18,143.00,0.26899,0.19048,0.91,0.86,0.95,0.92,563,5994,TLT160715C00143000
2016-07-18,2016-07-18,2016-08-05,18,141.00,0.27372,0.14170,0.73,0.71,0.76,0.76,6,233,TLT160805C00141000
2016-08-08,2016-08-08,2016-08-26,18,141.00,0.24123,0.12219,0.56,0.54,0.59,0.55,97,508,TLT160826C00141000
2016-08-29,2016-08-29,2016-09-16,18,142.50,0.26485,0.11244,0.53,0.51,0.55,0.51,18,160,TLT160916C00142500
2016-09-19,2016-09-19,2016-10-07,18,137.50,0.23455,0.14170,0.54,0.52,0.56,0.70,1,121,TLT161007C00137500
2016-10-10,2016-10-10,2016-10-28,18,135.50,0.26453,0.12219,0.58,0.56,0.61,0.57,38,401,TLT161028C00135500
2016-10-31,2016-10-31,2016-11-18,18,134.00,0.24579,0.13195,0.59,0.57,0.62,0.61,965,2256,TLT161118C00134000
2016-11-21,2016-11-21,2016-12-09,18,124.00,0.25191,0.15146,0.61,0.59,0.63,0.62,37,2097,TLT161209C00124000
2016-12-12,2016-12-12,2016-12-30,18,120.50,0.23590,0.14170,0.48,0.46,0.50,0.45,48,1071,TLT161230C00120500
2017-01-02,2016-12-30,2017-01-20,21,122.00,0.23381,0.13195,0.51,0.50,0.52,0.53,1748,18079,TLT170120C00122000
2017-01-23,2017-01-23,2017-02-10,18,123.50,0.26346,0.13195,0.57,0.56,0.58,0.71,25,104,TLT170210C00123500
2017-02-13,2017-02-13,2017-03-03,18,122.50,0.25026,0.11244,0.47,0.45,0.49,0.43,11,234,TLT170303C00122500
2017-03-06,2017-03-06,2017-03-24,18,121.00,0.25564,0.12219,0.49,0.47,0.51,0.48,14,170,TLT170324C00121000
2017-03-27,2017-03-27,2017-04-13,17,123.50,0.23191,0.10268,0.39,0.37,0.40,0.39,120,183,TLT170413C00123500
2017-04-17,2017-04-17,2017-05-05,18,125.50,0.26377,0.13195,0.54,0.52,0.56,0.36,0,558,TLT170505C00125500
2017-05-08,2017-05-08,2017-05-26,18,122.50,0.25994,0.10268,0.45,0.43,0.46,0.47,21,38,TLT170526C00122500
2017-05-29,2017-05-26,2017-06-16,21,125.50,0.24404,0.09292,0.39,0.37,0.40,0.42,1,18,TLT170616C00125500
2017-06-19,2017-06-19,2017-07-07,18,128.00,0.22981,0.08317,0.35,0.33,0.37,0.35,3,52,TLT170707C00128000
2017-07-10,2017-07-10,2017-07-28,18,125.00,0.23993,0.10268,0.42,0.39,0.44,0.40,71,182,TLT170728C00125000
2017-07-31,2017-07-31,2017-08-18,18,126.00,0.23458,0.09292,0.38,0.36,0.40,0.37,347,13449,TLT170818C00126000
2017-08-21,2017-08-21,2017-09-08,18,129.00,0.22787,0.09292,0.38,0.35,0.40,0.33,11,263,TLT170908C00129000
2017-09-11,2017-09-11,2017-09-29,18,129.50,0.25467,0.10268,0.45,0.42,0.49,0.46,208,450,TLT170929C00129500
2017-10-02,2017-10-02,2017-10-20,18,126.50,0.22966,0.10268,0.39,0.36,0.41,0.38,14,2350,TLT171020C00126500
2017-10-23,2017-10-23,2017-11-10,18,126.00,0.27608,0.10268,0.44,0.42,0.47,0.44,43,250,TLT171110C00126000
2017-11-13,2017-11-13,2017-12-01,18,126.00,0.27531,0.09292,0.43,0.40,0.47,0.46,215,312,TLT171201C00126000
2017-12-04,2017-12-04,2017-12-22,18,129.00,0.23774,0.11244,0.42,0.38,0.45,0.32,122,1513,TLT171222C00129000
2017-12-25,2017-12-22,2018-01-12,21,127.00,0.25023,0.10268,0.47,0.43,0.51,0.48,14,156,TLT180112C00127000
2018-01-15,2018-01-12,2018-02-02,21,126.50,0.25463,0.09292,0.45,0.40,0.49,0.41,29,620,TLT180202C00126500
2018-02-05,2018-02-05,2018-02-23,18,123.50,0.22926,0.13195,0.46,0.17,0.74,0.35,24,336,TLT180223C00123500
2018-02-26,2018-02-26,2018-03-16,18,120.00,0.26375,0.10268,0.42,0.39,0.44,0.42,1110,15834,TLT180316C00120000
2018-03-19,2018-03-19,2018-04-06,18,121.50,0.23846,0.10268,0.36,0.33,0.39,0.38,1,171,TLT180406C00121500
2018-04-09,2018-04-09,2018-04-27,18,123.00,0.26640,0.09292,0.40,0.35,0.45,0.34,351,1976,TLT180427C00123000
2018-04-30,2018-04-30,2018-05-18,18,120.50,0.28150,0.08317,0.39,0.35,0.42,0.40,15,225,TLT180518C00120500
2018-05-21,2018-05-21,2018-06-08,18,119.00,0.23017,0.08317,0.32,0.29,0.34,0.26,41,1295,TLT180608C00119000
2018-06-11,2018-06-11,2018-06-29,18,121.50,0.22677,0.10268,0.33,0.30,0.37,0.23,0,142,TLT180629C00121500
2018-07-02,2018-07-02,2018-07-20,18,123.00,0.25111,0.08317,0.36,0.35,0.38,0.37,121,8781,TLT180720C00123000
2018-07-23,2018-07-23,2018-08-10,18,121.00,0.26047,0.09292,0.39,0.36,0.41,0.39,19,57,TLT180810C00121000
2018-08-13,2018-08-13,2018-08-31,18,122.00,0.28104,0.09292,0.43,0.37,0.49,0.38,109,9852,TLT180831C00122000
2018-09-03,2018-08-31,2018-09-21,21,122.50,0.26485,0.07341,0.33,0.31,0.36,0.34,184,2313,TLT180921C00122500
2018-09-24,2018-09-24,2018-10-12,18,118.50,0.23527,0.08317,0.32,0.30,0.34,0.44,31,179,TLT181012C00118500
2018-10-15,2018-10-15,2018-11-02,18,116.00,0.27353,0.09292,0.40,0.37,0.43,0.43,76,252,TLT181102C00116000
2018-11-05,2018-11-05,2018-11-23,18,114.50,0.25105,0.11244,0.38,0.35,0.41,0.41,15,439,TLT181123C00114500
2018-11-26,2018-11-26,2018-12-14,18,116.50,0.24503,0.08317,0.32,0.27,0.37,0.34,0,534,TLT181214C00116500
2018-12-17,2018-12-17,2019-01-04,18,121.00,0.27115,0.10268,0.44,0.40,0.48,0.43,10,134,TLT190104C00121000
2019-01-07,2019-01-07,2019-01-25,18,124.00,0.25031,0.11244,0.43,0.38,0.49,0.44,204,203,TLT190125C00124000
2019-01-28,2019-01-28,2019-02-15,18,122.00,0.26207,0.08317,0.39,0.37,0.40,0.37,410,16790,TLT190215C00122000
2019-02-18,2019-02-15,2019-03-08,21,123.50,0.26893,0.07341,0.38,0.34,0.41,0.30,0,40,TLT190308C00123500
2019-03-11,2019-03-11,2019-03-29,18,123.00,0.23563,0.08317,0.29,0.27,0.31,0.30,23,113,TLT190329C00123000
2019-04-01,2019-04-01,2019-04-18,17,126.50,0.24054,0.10268,0.38,0.32,0.44,0.34,1770,5175,TLT190418C00126500
2019-04-22,2019-04-22,2019-05-10,18,124.00,0.25187,0.08317,0.32,0.30,0.34,0.32,91,415,TLT190510C00124000
2019-05-13,2019-05-13,2019-05-31,18,127.50,0.27085,0.09292,0.43,0.40,0.46,0.41,5,25,TLT190531C00127500
2019-06-03,2019-06-03,2019-06-21,18,135.00,0.27470,0.13195,0.68,0.65,0.71,0.66,400,1318,TLT190621C00135000
2019-06-24,2019-06-24,2019-07-12,18,134.50,0.26633,0.10268,0.51,0.49,0.53,0.48,37,153,TLT190712C00134500
2019-07-15,2019-07-15,2019-08-02,18,133.00,0.27053,0.10268,0.51,0.50,0.52,0.50,46,539,TLT190802C00133000
2019-08-05,2019-08-05,2019-08-23,18,140.00,0.41745,0.14170,1.29,1.25,1.32,1.29,372,185,TLT190823C00140000
2019-08-26,2019-08-26,2019-09-13,18,149.00,0.26050,0.16122,0.81,0.79,0.84,0.86,28,127,TLT190913C00149000
2019-09-16,2019-09-16,2019-10-04,18,142.00,0.24428,0.16122,0.67,0.65,0.68,0.68,205,220,TLT191004C00142000
2019-10-07,2019-10-07,2019-10-25,18,148.00,0.25631,0.14170,0.65,0.63,0.66,0.70,32,323,TLT191025C00148000
2019-10-28,2019-10-28,2019-11-15,18,140.00,0.24775,0.12219,0.50,0.49,0.51,0.51,2113,12066,TLT191115C00140000
2019-11-18,2019-11-18,2019-12-06,18,140.50,0.22987,0.10268,0.46,0.45,0.48,0.55,28,146,TLT191206C00140500
2019-12-09,2019-12-09,2019-12-27,18,141.50,0.23944,0.12219,0.56,0.55,0.58,0.58,12,91,TLT191227C00141500
2019-12-30,2019-12-30,2020-01-17,18,139.50,0.25043,0.12219,0.53,0.51,0.55,0.53,84,92,TLT200117C00139500
2020-01-20,2020-01-17,2020-02-07,21,140.50,0.24998,0.10268,0.46,0.45,0.48,0.46,59,98,TLT200207C00140500
2020-02-10,2020-02-10,2020-02-28,18,148.00,0.25864,0.14170,0.67,0.65,0.68,0.64,59,111,TLT200228C00148000
2020-03-02,2020-03-02,2020-03-20,18,160.00,0.23678,0.22951,1.09,1.02,1.17,1.13,1038,10186,TLT200320C00160000
2020-03-23,2020-03-23,2020-04-09,17,180.00,0.24463,0.50267,2.43,1.81,3.05,1.84,206,399,TLT200409C00180000
2020-04-13,2020-04-13,2020-05-01,18,169.50,0.24221,0.21000,1.11,0.84,1.39,1.24,1,12,TLT200501C00169500
2020-05-04,2020-05-04,2020-05-22,18,172.00,0.25687,0.19048,1.06,0.99,1.13,1.03,12,141,TLT200522C00172000
2020-05-25,2020-05-22,2020-06-12,21,170.00,0.25275,0.16122,0.94,0.86,1.02,0.96,15,340,TLT200612C00170000
2020-06-15,2020-06-15,2020-07-02,17,166.50,0.25533,0.17097,0.88,0.82,0.94,1.16,5,546,TLT200702C00166500
2020-07-06,2020-07-06,2020-07-24,18,166.50,0.25029,0.14170,0.76,0.71,0.80,0.67,4,21,TLT200724C00166500
2020-07-27,2020-07-27,2020-08-14,18,173.50,0.24304,0.16122,0.80,0.76,0.84,0.78,28,14,TLT200814C00173500
2020-08-17,2020-08-17,2020-09-04,18,167.50,0.24700,0.15146,0.76,0.71,0.82,0.91,12,76,TLT200904C00167500
2020-09-07,2020-09-04,2020-09-25,21,167.00,0.25864,0.16122,0.98,0.94,1.02,0.97,15,341,TLT200925C00167000
2020-09-28,2020-09-28,2020-10-16,18,168.00,0.23359,0.12219,0.62,0.59,0.65,0.59,6334,9742,TLT201016C00168000
2020-10-19,2020-10-19,2020-11-06,18,164.50,0.25401,0.15146,0.83,0.79,0.87,0.80,16,79,TLT201106C00164500
2020-11-09,2020-11-09,2020-11-27,18,159.00,0.25060,0.12219,0.64,0.54,0.73,0.46,28,87,TLT201127C00159000
2020-11-30,2020-11-30,2020-12-18,18,163.50,0.23636,0.13195,0.62,0.58,0.67,0.72,3,17,TLT201218C00163500
2020-12-21,2020-12-21,2021-01-08,18,160.50,0.24396,0.14170,0.65,0.58,0.71,0.54,2,45,TLT210108C00160500
2021-01-11,2021-01-11,2021-01-29,18,154.50,0.24312,0.14170,0.69,0.64,0.73,0.50,1,9,TLT210129C00154500
2021-02-01,2021-02-01,2021-02-19,18,155.50,0.25500,0.15146,0.72,0.68,0.76,0.68,2,256,TLT210219C00155500
2021-02-22,2021-02-22,2021-03-12,18,146.00,0.26119,0.18073,0.86,0.79,0.93,0.85,54,70,TLT210312C00146000
2021-03-15,2021-03-15,2021-04-01,17,140.00,0.26316,0.16122,0.75,0.72,0.78,0.78,358,1768,TLT210401C00140000
2021-04-05,2021-04-05,2021-04-23,18,140.00,0.25923,0.15146,0.67,0.62,0.71,0.62,24,324,TLT210423C00140000
2021-04-26,2021-04-26,2021-05-14,18,142.50,0.28183,0.14170,0.79,0.76,0.82,0.83,11,45,TLT210514C00142500
2021-05-17,2021-05-17,2021-06-04,18,139.50,0.23938,0.12219,0.53,0.49,0.56,0.53,18,61,TLT210604C00139500
2021-06-07,2021-06-07,2021-06-25,18,142.00,0.25854,0.12219,0.55,0.51,0.59,0.56,34,281,TLT210625C00142000
2021-06-28,2021-06-28,2021-07-16,18,146.50,0.24293,0.13195,0.55,0.53,0.56,0.56,1,71,TLT210716C00146500
2021-07-19,2021-07-19,2021-08-06,18,156.00,0.26081,0.20024,1.05,0.98,1.12,1.01,28,29,TLT210806C00156000
2021-08-09,2021-08-09,2021-08-27,18,151.00,0.23288,0.15146,0.63,0.61,0.65,0.61,68,308,TLT210827C00151000
2021-08-30,2021-08-30,2021-09-17,18,153.00,0.24385,0.13195,0.60,0.58,0.62,0.58,179,5404,TLT210917C00153000
2021-09-20,2021-09-20,2021-10-08,18,154.00,0.27293,0.14170,0.82,0.76,0.89,0.74,30,116,TLT211008C00154000
2021-10-11,2021-10-11,2021-10-29,18,144.50,0.25939,0.14170,0.65,0.60,0.70,0.78,0,61,TLT211029C00144500
2021-11-01,2021-11-01,2021-11-19,18,150.50,0.24188,0.17097,0.76,0.74,0.77,0.73,2127,1368,TLT211119C00150500
2021-11-22,2021-11-22,2021-12-10,18,150.00,0.23970,0.14170,0.64,0.59,0.69,0.64,52,149,TLT211210C00150000
2021-12-13,2021-12-13,2021-12-31,18,155.00,0.22737,0.15146,0.64,0.63,0.65,0.61,163,298,TLT211231C00155000
2022-01-03,2022-01-03,2022-01-21,18,148.00,0.24567,0.16122,0.76,0.73,0.79,0.84,269,1844,TLT220121C00148000
2022-01-24,2022-01-24,2022-02-11,18,146.00,0.25189,0.16122,0.79,0.73,0.85,0.85,20,197,TLT220211C00146000
2022-02-14,2022-02-14,2022-03-04,18,140.50,0.25607,0.19048,0.86,0.79,0.93,1.17,3,53,TLT220304C00140500
